paper_id	canonical_file_id	canonical_title	authors	journal	publication_year	doi	pmid	document_type	duplicate_group_id	bibliographic_status	data_availability_locator	notes
P0001	F0001	Organization of the Mitotic Chromosome	Natalia Naumova; Maxim Imakaev; Geoffrey Fudenberg; Ye Zhan; Bryan R. Lajoie; Leonid A. Mirny; Job Dekker	Science	2013	10.1126/science.1236083	NR	research_article	NA	verified	PDF p.5 Acknowledgments and Supplementary Materials; ArrayExpress E-MTAB-1948	第4轮核验；PMID未从当前可访问官方快照裁决，保留NR
P0002	F0002	Topologically associating domains are stable units of replication-timing regulation	Benjamin D. Pope; Tyrone Ryba; Vishnu Dileep; Feng Yue; Weisheng Wu; Olgert Denas; Daniel L. Vera; Yanli Wang; R. Scott Hansen; Theresa K. Canfield; Robert E. Thurman; Yong Cheng; Gunhan Gulsoy; Jonathan H. Dennis; Michael P. Snyder; John A. Stamatoyannopoulos; James Taylor; Ross C. Hardison; Tamer Kahveci; Bing Ren; David M. Gilbert	Nature	2014	10.1038/nature13986	NR	research_article	NA	pilot_verified	PDF first page; local PDF full-text scan hit GSE51334	Round7 轻量扩展候选；题名/DOI由本地 PDF 核验
P0003	F0003	NR	NR	NR	NR	NR	NR	research_article	DUP001	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0004	F0005	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0005	F0006	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0006	F0007	Two independent modes of chromatin organization revealed by cohesin removal	Wibke Schwarzer; Nezar Abdennur; Anton Goloborodko; Aleksandra Pekowska; Geoffrey Fudenberg; Yann Loe-Mie; Nuno A. Fonseca; Wolfgang Huber; Christian H. Haering; Leonid Mirny; Francois Spitz	Nature	2017	10.1038/nature24281	NR	research_article	NA	pilot_verified	PDF first page; local PDF full-text scan hit GSE93431	Round7 轻量扩展候选；题名/DOI由本地 PDF 核验
P0007	F0008	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	Gordana Wutz; Csilla Várnai; Kota Nagasaka; David A. Cisneros; Roman R. Stocsits; Wen Tang; Stefan Schoenfelder; Gregor Jessberger; Matthias Muhar; M. Julius Hossain; Nike Walther; Birgit Koch; Moritz Kueblbeck; Jan Ellenberg; Johannes Zuber; Peter Fraser; Jan-Michael Peters	The EMBO Journal	2017	10.15252/embj.201798004	NR	research_article	NA	pilot_verified	PDF first page; local PDF full-text scan hit GSE102884	Round7 轻量扩展候选；题名/DOI由本地 PDF 核验
P0008	F0009	A pathway for mitotic chromosome formation	Johan H. Gibcus et al.	Science	2018	10.1126/science.aao6135	29348367	research_article	NA	pilot_verified	PDF p.13（article p.12）Data and materials availability	本轮试点论文；正文与NCBI GEO记录交叉核验
P0009	F0010	Chromatin structure dynamics during the mitosis-to-G1 phase transition	Haoyue Zhang et al.	Nature	2019	10.1038/s41586-019-1778-y	31776509	research_article	NA	verified	PDF Data availability; GEO GSE129997	第4轮核验；GEO页面citation给出PMID 31776509
P0010	F0011	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
