paper_id	canonical_title	doi	archive_project	study_accession	geo_series	geo_sample	biosample	experiment_accession	run_accession	file_url	file_md5	file_size	file_source	species	sample_name_original	sample_name_standardized	assay	library_strategy	measurement_target	synchronization_method	synchronization_start	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	perturbation_type	perturbation_technology	perturbation_target	expected_effect	observed_validation	is_own_data	data_generation_status	evidence_ids	verification_status	unresolved_issue_ids
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729077	SAMN11457819	SRX5706476	SRR8925334	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/004/SRR8925334/SRR8925334_1.fastq.gz	25f6f6c68f95964ebe8c91e532354d39	1875411386	ENA fastq_ftp	Mus musculus	Capture-C-prometa-rep1	GSM3729077	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	0	min	prometaphase	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729077	SAMN11457819	SRX5706476	SRR8925334	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/004/SRR8925334/SRR8925334_2.fastq.gz	46b6df5e968f931e4df8880792a6250c	1904804609	ENA fastq_ftp	Mus musculus	Capture-C-prometa-rep1	GSM3729077	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	0	min	prometaphase	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729077	SAMN11457819	SRX5706476	SRR8925335	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/005/SRR8925335/SRR8925335_1.fastq.gz	8a4281085977e8afed4512c2966b4dc8	887675380	ENA fastq_ftp	Mus musculus	Capture-C-prometa-rep1	GSM3729077	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	0	min	prometaphase	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729077	SAMN11457819	SRX5706476	SRR8925335	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/005/SRR8925335/SRR8925335_2.fastq.gz	4eb3e76f8f6e7ff7cf8c9686a20001d3	908817335	ENA fastq_ftp	Mus musculus	Capture-C-prometa-rep1	GSM3729077	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	0	min	prometaphase	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729078	SAMN11457818	SRX5706503	SRR8925336	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/006/SRR8925336/SRR8925336_1.fastq.gz	8d4a9ad92a172c8d610e379d23ecec41	1469176104	ENA fastq_ftp	Mus musculus	Capture-C-ana.telo-rep1	GSM3729078	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	25	min	ana/telophase	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729078	SAMN11457818	SRX5706503	SRR8925336	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/006/SRR8925336/SRR8925336_2.fastq.gz	35d5db954abf4fcc5b39ba9f2aa84585	1496604349	ENA fastq_ftp	Mus musculus	Capture-C-ana.telo-rep1	GSM3729078	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	25	min	ana/telophase	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729078	SAMN11457818	SRX5706503	SRR8925337	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/007/SRR8925337/SRR8925337_1.fastq.gz	f8af073e8eddbeb747c0f869731e74af	674601282	ENA fastq_ftp	Mus musculus	Capture-C-ana.telo-rep1	GSM3729078	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	25	min	ana/telophase	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729078	SAMN11457818	SRX5706503	SRR8925337	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/007/SRR8925337/SRR8925337_2.fastq.gz	184c9c9f6b4f718e07b9948fd4574461	693640142	ENA fastq_ftp	Mus musculus	Capture-C-ana.telo-rep1	GSM3729078	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	25	min	ana/telophase	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729079	SAMN11457817	SRX5706504	SRR8925338	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/008/SRR8925338/SRR8925338_1.fastq.gz	26949375b4443ecdca5311bdbce51481	1298718569	ENA fastq_ftp	Mus musculus	Capture-C-early-G1-rep1	GSM3729079	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	60	min	early G1	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
P0009	Chromatin structure dynamics during the mitosis-to-G1 phase transition	10.1038/s41586-019-1778-y	PRJNA533460	SRP192917	GSE129997	GSM3729079	SAMN11457817	SRX5706504	SRR8925338	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/008/SRR8925338/SRR8925338_2.fastq.gz	9796ca54dd5f727bf04fa3d6c3874ff4	1313098531	ENA fastq_ftp	Mus musculus	Capture-C-early-G1-rep1	GSM3729079	Capture-C	Capture-C	NR	nocodazole arrest-release	release from nocodazole arrest	60	min	early G1	author_stated	not_applicable	not_applicable	NA	NR	NR	yes	study_generated	E-P0009-003|E-P0009-004|E-P0009-005	verified	UI-P0009-003
