catalog_row_id	paper_id	experiment_id	condition_id	replicate_id	batch_id	sample_timepoint_id	archive_sample_id	perturbation_id	accession_record_id	file_id	paper_title	doi	own_data_status	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	species_scientific	cell_line_or_tissue	sample_name_original	assay_type	detection_target	synchronization_method	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	perturbation_type	direct_target	expected_effect	observed_validation	gsm_accession	biosample_accession	sra_sample_accession	experiment_accession	run_accession	download_url	file_size_bytes	md5	online_verification_status	evidence_ids	notes
CAT-P0011-000001-F1	P0011	EX-P0011-001	C-P0011-001	R-P0011-001	B-P0011-001	ST-P0011-001	AS-P0011-001	NA	AC-P0011-001-001	RF-P0011-SRR9870458-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	1_Wapl-C6_0h_antiWapl	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992897	SAMN12400237	SRS5180949	SRX6623194	SRR9870458	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9870458/SRR9870458.fastq.gz	636868932	bff42d7ff1c1ee48611c632040459fd7	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000002-F1	P0011	EX-P0011-001	C-P0011-002	R-P0011-002	B-P0011-002	ST-P0011-002	AS-P0011-002	NA	AC-P0011-002-001	RF-P0011-SRR9870459-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	2_Wapl-C6_24h_antiWapl	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992898	SAMN12400236	SRS5180950	SRX6623195	SRR9870459	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9870459/SRR9870459.fastq.gz	571388454	834951d8522d0952fd07d9c52542a1a0	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000003-F1	P0011	EX-P0011-001	C-P0011-003	R-P0011-003	B-P0011-003	ST-P0011-003	AS-P0011-003	NA	AC-P0011-003-001	RF-P0011-SRR9870460-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	3_Wapl-C6_0h_antiCtcf	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992899	SAMN12400235	SRS5180951	SRX6623196	SRR9870460	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/000/SRR9870460/SRR9870460.fastq.gz	731837954	90c73825667c930a7807191f1a854739	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000004-F1	P0011	EX-P0011-001	C-P0011-004	R-P0011-004	B-P0011-004	ST-P0011-004	AS-P0011-004	NA	AC-P0011-004-001	RF-P0011-SRR9870461-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	4_Wapl-C6_24h_antiCtcf	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992900	SAMN12400234	SRS5180954	SRX6623197	SRR9870461	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/001/SRR9870461/SRR9870461.fastq.gz	888949393	218d970804f93f6c7ebd61be61ae42d4	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000005-F1	P0011	EX-P0011-001	C-P0011-005	R-P0011-005	B-P0011-005	ST-P0011-005	AS-P0011-005	NA	AC-P0011-005-001	RF-P0011-SRR9870462-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	5_Wapl-C6_0h_antiRad21	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992901	SAMN12400233	SRS5180952	SRX6623198	SRR9870462	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/002/SRR9870462/SRR9870462.fastq.gz	600384230	10f939172baa9af59373d12393a26a01	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000006-F1	P0011	EX-P0011-001	C-P0011-006	R-P0011-006	B-P0011-006	ST-P0011-006	AS-P0011-006	NA	AC-P0011-006-001	RF-P0011-SRR9870463-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	6_Wapl-C6_24h_antiRad21	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992902	SAMN12400232	SRS5180953	SRX6623199	SRR9870463	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9870463/SRR9870463.fastq.gz	872041820	edf7e9fc3b613e89f7378ee94da194bc	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000007-F1	P0011	EX-P0011-001	C-P0011-007	R-P0011-007	B-P0011-007	ST-P0011-007	AS-P0011-007	NA	AC-P0011-007-001	RF-P0011-SRR9870464-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	7_Wapl-C20_0h_antiRad21	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992903	SAMN12400231	SRS5180955	SRX6623200	SRR9870464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9870464/SRR9870464.fastq.gz	1045139614	7e4f13d2d657d99956025c2388f6ef8c	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000008-F1	P0011	EX-P0011-001	C-P0011-008	R-P0011-008	B-P0011-008	ST-P0011-008	AS-P0011-008	NA	AC-P0011-008-001	RF-P0011-SRR9870465-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	8_Wapl-C20_24h_antiRad21	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992904	SAMN12400230	SRS5180956	SRX6623201	SRR9870465	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9870465/SRR9870465.fastq.gz	1117973958	0d5cbd4d7363f02aea52c17cd0c8cd2b	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000009-F1	P0011	EX-P0011-001	C-P0011-009	R-P0011-009	B-P0011-009	ST-P0011-009	AS-P0011-009	NA	AC-P0011-009-001	RF-P0011-SRR9870466-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	9_WaplNPC-C6_0h_antiRad21_rep1	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992905	SAMN12400229	SRS5180957	SRX6623202	SRR9870466	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9870466/SRR9870466.fastq.gz	635419182	489939b97217a5358691450d0acab018	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000010-F1	P0011	EX-P0011-001	C-P0011-010	R-P0011-010	B-P0011-010	ST-P0011-010	AS-P0011-010	NA	AC-P0011-010-001	RF-P0011-SRR9870467-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	10_WaplNPC-C6_24h_antiRad21_rep1	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM3992906	SAMN12400228	SRS5180958	SRX6623203	SRR9870467	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9870467/SRR9870467.fastq.gz	686756959	8676fa4ffbba25d51db547247e396b6c	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
