catalog_row_id	paper_id	experiment_id	condition_id	replicate_id	batch_id	sample_timepoint_id	archive_sample_id	perturbation_id	accession_record_id	file_id	paper_title	doi	own_data_status	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	species_scientific	cell_line_or_tissue	sample_name_original	assay_type	detection_target	synchronization_method	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	perturbation_type	direct_target	expected_effect	observed_validation	gsm_accession	biosample_accession	sra_sample_accession	experiment_accession	run_accession	download_url	file_size_bytes	md5	online_verification_status	evidence_ids	notes
CAT-P0012-000001	P0012	EX-P0012-001	C-P0012-001	R-P0012-001	B-P0012-001	ST-P0012-001	AS-P0012-001	NA	AC-P0012-001-001	RF-P0012-SRR13848196-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_0h_no_A.rep1	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	0	min	prometaphase	author_stated	no auxin control	CTCF	see perturbations table	NR	GSM5133011	SAMN18128743	SRS8371863	SRX10229669	SRR13848196	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/096/SRR13848196/SRR13848196.fastq.gz	822333057	81be8d20e7c9ff6f473fdfbc5f4593ad	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000002	P0012	EX-P0012-001	C-P0012-002	R-P0012-002	B-P0012-002	ST-P0012-002	AS-P0012-002	NA	AC-P0012-002-001	RF-P0012-SRR13848197-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_0h_no_A.rep2	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	0	min	prometaphase	author_stated	no auxin control	CTCF	see perturbations table	NR	GSM5133012	SAMN18128742	SRS8371862	SRX10229670	SRR13848197	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/097/SRR13848197/SRR13848197.fastq.gz	965461254	06fc90d8bb88a82beee67c8eb8b06607	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000003	P0012	EX-P0012-001	C-P0012-003	R-P0012-003	B-P0012-003	ST-P0012-003	AS-P0012-003	PT-P0012-001	AC-P0012-003-001	RF-P0012-SRR13848198-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_0h_with_A.rep1	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	0	min	prometaphase	author_stated	auxin	CTCF	see perturbations table	NR	GSM5133013	SAMN18128741	SRS8371865	SRX10229671	SRR13848198	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/098/SRR13848198/SRR13848198.fastq.gz	817356028	5474dcc597d5f491d6ffbfeeae7fec95	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000004	P0012	EX-P0012-001	C-P0012-004	R-P0012-004	B-P0012-004	ST-P0012-004	AS-P0012-004	PT-P0012-001	AC-P0012-004-001	RF-P0012-SRR13848199-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_0h_with_A.rep2	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	0	min	prometaphase	author_stated	auxin	CTCF	see perturbations table	NR	GSM5133014	SAMN18128740	SRS8371864	SRX10229672	SRR13848199	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/099/SRR13848199/SRR13848199.fastq.gz	841706976	df19751094b9a802f857d3b096d29e69	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000005	P0012	EX-P0012-001	C-P0012-005	R-P0012-005	B-P0012-005	ST-P0012-005	AS-P0012-005	NA	AC-P0012-005-001	RF-P0012-SRR13848200-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_1h_no_A.rep1	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	60	min	early G1	author_stated	no auxin control	CTCF	see perturbations table	NR	GSM5133016	SAMN18128739	SRS8371866	SRX10229673	SRR13848200	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/000/SRR13848200/SRR13848200.fastq.gz	841989015	3d60290754089a00e0fbb00fd3fd6c9d	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000006	P0012	EX-P0012-001	C-P0012-006	R-P0012-006	B-P0012-006	ST-P0012-006	AS-P0012-006	NA	AC-P0012-006-001	RF-P0012-SRR13848201-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_1h_no_A.rep2	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	60	min	early G1	author_stated	no auxin control	CTCF	see perturbations table	NR	GSM5133017	SAMN18128738	SRS8371867	SRX10229674	SRR13848201	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/001/SRR13848201/SRR13848201.fastq.gz	1074441543	c051091a23eeb2009e4a9c3ac76c42aa	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000007	P0012	EX-P0012-001	C-P0012-007	R-P0012-007	B-P0012-007	ST-P0012-007	AS-P0012-007	PT-P0012-001	AC-P0012-007-001	RF-P0012-SRR13848202-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_1h_with_A.rep1	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	60	min	early G1	author_stated	auxin	CTCF	see perturbations table	NR	GSM5133018	SAMN18128737	SRS8371869	SRX10229675	SRR13848202	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/002/SRR13848202/SRR13848202.fastq.gz	727991833	5643ec60564d91f31af007a84d635ccf	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000008	P0012	EX-P0012-001	C-P0012-008	R-P0012-008	B-P0012-008	ST-P0012-008	AS-P0012-008	PT-P0012-001	AC-P0012-008-001	RF-P0012-SRR13848203-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_1h_with_A.rep2	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	60	min	early G1	author_stated	auxin	CTCF	see perturbations table	NR	GSM5133019	SAMN18128736	SRS8371868	SRX10229676	SRR13848203	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/003/SRR13848203/SRR13848203.fastq.gz	953527799	adf1f8ed49bfce0193dcfc0cde6c6e25	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000009	P0012	EX-P0012-001	C-P0012-009	R-P0012-009	B-P0012-009	ST-P0012-009	AS-P0012-009	NA	AC-P0012-009-001	RF-P0012-SRR13848204-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_2h_no_A.rep1	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	120	min	mid G1	author_stated	no auxin control	CTCF	see perturbations table	NR	GSM5133020	SAMN18128735	SRS8371870	SRX10229677	SRR13848204	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/004/SRR13848204/SRR13848204.fastq.gz	638768589	87cf8484e59f45fb12bf053e741ef46e	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
CAT-P0012-000010	P0012	EX-P0012-001	C-P0012-010	R-P0012-010	B-P0012-010	ST-P0012-010	AS-P0012-010	NA	AC-P0012-010-001	RF-P0012-SRR13848205-1	CTCF and transcription influence chromatin structure re-configuration after mitosis	10.1038/s41467-021-25418-5	yes	study_generated	study_generated	study_generated	primary_analysis	Mus musculus	G1E-ER4 cells	polii_2h_no_A.rep2	ChIP-seq	Pol II	nocodazole arrest-release	release from nocodazole arrest	120	min	mid G1	author_stated	no auxin control	CTCF	see perturbations table	NR	GSM5133022	SAMN18128734	SRS8371871	SRX10229678	SRR13848205	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/005/SRR13848205/SRR13848205.fastq.gz	981720968	80341c1ba202c194edbf4240ee7a7b3f	verified_metadata_record	E-P0012-003|E-P0012-004	One row per Run in run view; file view expands FASTQ links.
