relation_id	parent_accession	child_accession	relation_type	source_database	query_id	verification_status	evidence_ids	notes
REL-P0008-00406	PRJNA398543	SRP115572	project_has_study	NCBI	Q0003	verified	E-P0008-009	SRA experiment package
REL-P0008-00001	GSE102740	GSM2745839	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00002	GSM2745839	SAMN07512622	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00003	SAMN07512622	SRX3098292	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00004	GSE102740	GSM2745840	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00005	GSM2745840	SAMN07512588	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00006	SAMN07512588	SRX3098293	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00007	GSE102740	GSM2745841	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00008	GSM2745841	SAMN07512587	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00009	SAMN07512587	SRX3098294	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00010	GSE102740	GSM2745842	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00011	GSM2745842	SAMN07512650	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00012	SAMN07512650	SRX3098295	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00013	GSE102740	GSM2745843	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00014	GSM2745843	SAMN07512649	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00015	SAMN07512649	SRX3098296	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00016	GSE102740	GSM2745844	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00017	GSM2745844	SAMN07512648	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00018	SAMN07512648	SRX3098297	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00019	GSE102740	GSM2745845	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00020	GSM2745845	SAMN07512647	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00021	SAMN07512647	SRX3098298	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00022	GSE102740	GSM2745846	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00023	GSM2745846	SAMN07512646	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00024	SAMN07512646	SRX3098299	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00025	GSE102740	GSM2745847	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00026	GSM2745847	SAMN07512645	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00027	SAMN07512645	SRX3098300	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00028	GSE102740	GSM2745848	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00029	GSM2745848	SAMN07512644	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00030	SAMN07512644	SRX3098301	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00031	GSE102740	GSM2745849	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00032	GSM2745849	SAMN07512643	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00033	SAMN07512643	SRX3098302	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00034	GSE102740	GSM2745850	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00035	GSM2745850	SAMN07512642	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00036	SAMN07512642	SRX3098303	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00037	GSE102740	GSM2745851	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00038	GSM2745851	SAMN07512641	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00039	SAMN07512641	SRX3098304	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00040	GSE102740	GSM2745852	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00041	GSM2745852	SAMN07512640	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00042	SAMN07512640	SRX3098305	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00043	GSE102740	GSM2745853	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00044	GSM2745853	SAMN07512639	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00045	SAMN07512639	SRX3098306	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00046	GSE102740	GSM2745854	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00047	GSM2745854	SAMN07512638	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00048	SAMN07512638	SRX3098307	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00049	GSE102740	GSM2745855	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00050	GSM2745855	SAMN07512637	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00051	SAMN07512637	SRX3098308	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00052	GSE102740	GSM2745856	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00053	GSM2745856	SAMN07512636	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00054	SAMN07512636	SRX3098309	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00055	GSE102740	GSM2745857	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00056	GSM2745857	SAMN07512635	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00057	SAMN07512635	SRX3098310	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00058	GSE102740	GSM2745858	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00059	GSM2745858	SAMN07512634	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00060	SAMN07512634	SRX3098311	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00061	GSE102740	GSM2745859	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00062	GSM2745859	SAMN07512633	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00063	SAMN07512633	SRX3098312	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00064	GSE102740	GSM2745860	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00065	GSM2745860	SAMN07512632	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00066	SAMN07512632	SRX3098313	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00067	GSE102740	GSM2745861	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00068	GSM2745861	SAMN07512631	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00069	SAMN07512631	SRX3098314	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00070	GSE102740	GSM2745862	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00071	GSM2745862	SAMN07512630	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00072	SAMN07512630	SRX3098315	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00073	GSE102740	GSM2745863	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00074	GSM2745863	SAMN07512629	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00075	SAMN07512629	SRX3098316	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00076	GSE102740	GSM2745864	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00077	GSM2745864	SAMN07512628	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00078	SAMN07512628	SRX3098317	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00079	GSE102740	GSM2745865	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00080	GSM2745865	SAMN07512627	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00081	SAMN07512627	SRX3098318	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00082	GSE102740	GSM2745866	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00083	GSM2745866	SAMN07512626	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00084	SAMN07512626	SRX3098319	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00085	GSE102740	GSM2745867	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00086	GSM2745867	SAMN07512625	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00087	SAMN07512625	SRX3098320	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00088	GSE102740	GSM2745868	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00089	GSM2745868	SAMN07512624	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00090	SAMN07512624	SRX3098321	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00091	GSE102740	GSM2745869	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00092	GSM2745869	SAMN07512623	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00093	SAMN07512623	SRX3098322	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00094	GSE102740	GSM2745870	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00095	GSM2745870	SAMN07512621	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00096	SAMN07512621	SRX3098323	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00097	GSE102740	GSM2745871	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00098	GSM2745871	SAMN07512620	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00099	SAMN07512620	SRX3098324	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00100	GSE102740	GSM2745872	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00101	GSM2745872	SAMN07512619	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00102	SAMN07512619	SRX3098325	sample_has_experiment	NCBI	Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00103	GSE102740	GSM2745873	series_has_sample	NCBI	Q0001	verified	E-P0008-008|E-P0008-009	官方关系字段
REL-P0008-00104	GSM2745873	SAMN07512618	mirrors	NCBI	Q0001|Q0003	verified	E-P0008-008|E-P0008-009	官方关系字段
