accession_record_id	experiment_id	sample_timepoint_id	namespace	entity_type	accession	project_accession	study_accession	sample_accession	experiment_accession	run_accession	official_page_url	download_url	file_format	file_size_bytes	md5	format_validation_status	online_verification_status	verification_date	evidence_ids	notes	condition_id	replicate_id	batch_id	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	public_status	query_id	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	origin_evidence_ids
AC-P0008-001	EX-P0008-001	NA	GEO	geo_series	GSE102740	PRJNA398543	SRP115572	NA	NA	NOT_FOUND	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102740	NOT_FOUND	TAR (COOL|TXT) and SRA raw data	NR	NR	verified	verified	2026-07-13	E-P0008-005|E-P0008-006	GEO官方页确认公开、60个样本及SRA关系；本轮不下载192.7 GB归档	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P0008-002	EX-P0008-001	NA	NCBI BioProject	bioproject	PRJNA398543	PRJNA398543	SRP115572	NA	NA	NOT_FOUND	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102740	NOT_FOUND	NA	NA	NA	verified	verified	2026-07-13	E-P0008-006	在线存在性由GEO官方Relations字段验证；未抓取BioProject详情页	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P0008-003	EX-P0008-001	NA	NCBI SRA	sra_study	SRP115572	PRJNA398543	SRP115572	NA	NA	NOT_FOUND	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102740	NOT_FOUND	SRA	NA	NA	verified	verified	2026-07-13	E-P0008-006	在线存在性由GEO官方Relations字段验证；Run级未展开	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P0008-0005	EX-P0008-001	ST-P0008-GEO-001	GEO	geo_sample	GSM2745839	PRJNA398543	SRP115572	SAMN07512622	SRX3098292	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745839	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0006	EX-P0008-001	ST-P0008-GEO-001	NCBI BioSample	biosample	SAMN07512622	PRJNA398543	SRP115572	SAMN07512622	SRX3098292	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0007	EX-P0008-001	ST-P0008-GEO-001	NCBI SRA	sra_experiment	SRX3098292	PRJNA398543	SRP115572	SAMN07512622	SRX3098292	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0008	EX-P0008-001	ST-P0008-GEO-002	GEO	geo_sample	GSM2745840	PRJNA398543	SRP115572	SAMN07512588	SRX3098293	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745840	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-002	R-P0008-GEO-002	B-P0008-GEO-002	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0009	EX-P0008-001	ST-P0008-GEO-002	NCBI BioSample	biosample	SAMN07512588	PRJNA398543	SRP115572	SAMN07512588	SRX3098293	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-002	R-P0008-GEO-002	B-P0008-GEO-002	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0010	EX-P0008-001	ST-P0008-GEO-002	NCBI SRA	sra_experiment	SRX3098293	PRJNA398543	SRP115572	SAMN07512588	SRX3098293	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-002	R-P0008-GEO-002	B-P0008-GEO-002	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0011	EX-P0008-001	ST-P0008-GEO-003	GEO	geo_sample	GSM2745841	PRJNA398543	SRP115572	SAMN07512587	SRX3098294	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745841	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-003	R-P0008-GEO-003	B-P0008-GEO-003	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
