archive_sample_id	experiment_id	sample_timepoint_id	condition_id	replicate_id	batch_id	gsm_accession	biosample_accession	sra_sample_accession	srx_accession	sample_title_original	sample_alias_original	species_scientific	taxonomy_id	cell_line_or_tissue	platform_accession	genotype_original	phase_original	type_original	own_data_status	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	origin_evidence_ids	disposition_status	run_count	evidence_ids	notes
AS-P0008-001	EX-P0008-001	ST-P0008-GEO-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	NS-R1	GSM2745839	Gallus gallus	9031	DT40	GPL16133	WT	NS	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	32	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-002	EX-P0008-001	ST-P0008-GEO-002	C-P0008-GEO-002	R-P0008-GEO-002	B-P0008-GEO-002	GSM2745840	SAMN07512588	SRS2434597	SRX3098293	90G2-R1	GSM2745840	Gallus gallus	9031	DT40	GPL16133	WT	G2	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	28	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-003	EX-P0008-001	ST-P0008-GEO-003	C-P0008-GEO-003	R-P0008-GEO-003	B-P0008-GEO-003	GSM2745841	SAMN07512587	SRS2434598	SRX3098294	90G2-R2	GSM2745841	Gallus gallus	9031	DT40	GPL16133	WT	G2	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	36	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-004	EX-P0008-001	ST-P0008-GEO-004	C-P0008-GEO-004	R-P0008-GEO-004	B-P0008-GEO-004	GSM2745842	SAMN07512650	SRS2434599	SRX3098295	92Pphase-10m-R1	GSM2745842	Gallus gallus	9031	DT40	GPL16133	WT	Prophase	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	30	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-005	EX-P0008-001	ST-P0008-GEO-005	C-P0008-GEO-005	R-P0008-GEO-005	B-P0008-GEO-005	GSM2745843	SAMN07512649	SRS2434600	SRX3098296	87PMphase-30m-R1	GSM2745843	Gallus gallus	9031	DT40	GPL16133	WT	Prometaphase	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	27	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-006	EX-P0008-001	ST-P0008-GEO-006	C-P0008-GEO-006	R-P0008-GEO-006	B-P0008-GEO-006	GSM2745844	SAMN07512648	SRS2434601	SRX3098297	90PMphase-30m-R2	GSM2745844	Gallus gallus	9031	DT40	GPL16133	WT	Prometaphase	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	34	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-007	EX-P0008-001	ST-P0008-GEO-007	C-P0008-GEO-007	R-P0008-GEO-007	B-P0008-GEO-007	GSM2745845	SAMN07512647	SRS2434602	SRX3098298	92PMphase-60m-R1	GSM2745845	Gallus gallus	9031	DT40	GPL16133	WT	Prometaphase	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	26	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-008	EX-P0008-001	ST-P0008-GEO-008	C-P0008-GEO-008	R-P0008-GEO-008	B-P0008-GEO-008	GSM2745846	SAMN07512646	SRS2434603	SRX3098299	20150609-G2-R1	GSM2745846	Gallus gallus	9031	DT40	GPL16133	WT	G2	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	42	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-009	EX-P0008-001	ST-P0008-GEO-009	C-P0008-GEO-009	R-P0008-GEO-009	B-P0008-GEO-009	GSM2745847	SAMN07512645	SRS2434604	SRX3098300	20150609-5m-R1_	GSM2745847	Gallus gallus	9031	DT40	GPL16133	WT	Prophase	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	45	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-010	EX-P0008-001	ST-P0008-GEO-010	C-P0008-GEO-010	R-P0008-GEO-010	B-P0008-GEO-010	GSM2745848	SAMN07512644	SRS2434605	SRX3098301	20150609-15m-R1	GSM2745848	Gallus gallus	9031	DT40	GPL16133	WT	Prometaphase	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	37	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-011	EX-P0008-001	ST-P0008-GEO-011	C-P0008-GEO-011	R-P0008-GEO-011	B-P0008-GEO-011	GSM2745849	SAMN07512643	SRS2434606	SRX3098302	20150609-30m-R1	GSM2745849	Gallus gallus	9031	DT40	GPL16133	WT	Prometaphase	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	43	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
AS-P0008-012	EX-P0008-001	ST-P0008-GEO-012	C-P0008-GEO-012	R-P0008-GEO-012	B-P0008-GEO-012	GSM2745850	SAMN07512642	SRS2434607	SRX3098303	20150609-60m-R1	GSM2745850	Gallus gallus	9031	DT40	GPL16133	WT	Prometaphase	NR	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013	mapped	42	E-P0008-008|E-P0008-009|E-P0008-010	GEO→BioSample/SRX与NCBI/ENA Run关系均由官方字段连接
