file_id	run_accession	file_index	file_role	download_url	file_format	file_size_bytes	md5	link_field_source	api_returned_status	reachability_status	verification_date	evidence_ids	notes
RF-P0008-SRR5938471-1	SRR5938471	1	read1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938471/SRR5938471_1.fastq.gz	FASTQ	304577548	da318c6e7d8f38ce480022edf05db664	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938471-2	SRR5938471	2	read2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938471/SRR5938471_2.fastq.gz	FASTQ	346220568	baed099bc693d9e455df0d164a194eec	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938472-1	SRR5938472	1	read1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938472/SRR5938472_1.fastq.gz	FASTQ	323527040	5900f0b7e2a7f0cbfc96cafb87da414d	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938472-2	SRR5938472	2	read2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938472/SRR5938472_2.fastq.gz	FASTQ	352619420	3c9d845075a6272ef814310710bd44de	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938473-1	SRR5938473	1	read1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938473/SRR5938473_1.fastq.gz	FASTQ	317881971	090d30959affe3e5365dc3f3874e4180	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938473-2	SRR5938473	2	read2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938473/SRR5938473_2.fastq.gz	FASTQ	353034554	09fdd3073178b12a7f6c4647ecbf51de	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938474-1	SRR5938474	1	read1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938474/SRR5938474_1.fastq.gz	FASTQ	305246848	7e5cb436dd9498ecbe308596df1be1b2	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938474-2	SRR5938474	2	read2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938474/SRR5938474_2.fastq.gz	FASTQ	347634821	177e6659798aa501e621ee336a9208a7	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938475-1	SRR5938475	1	read1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938475/SRR5938475_1.fastq.gz	FASTQ	312146047	f85bc2af8a7d999e59a65ce671423fd6	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938475-2	SRR5938475	2	read2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938475/SRR5938475_2.fastq.gz	FASTQ	352907781	f8f9941008869a0672025250dfb57a57	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938476-1	SRR5938476	1	read1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938476/SRR5938476_1.fastq.gz	FASTQ	316184274	e5646136af41e25899f7435a76373e4a	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938476-2	SRR5938476	2	read2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938476/SRR5938476_2.fastq.gz	FASTQ	356202010	35262aa62a27c48a40fa3c783fddfdaf	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938477-1	SRR5938477	1	read1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938477/SRR5938477_1.fastq.gz	FASTQ	321911506	a82511033c70f9b7e792a771613a5b2b	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
RF-P0008-SRR5938477-2	SRR5938477	2	read2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938477/SRR5938477_2.fastq.gz	FASTQ	360013385	9e662fb1aaba3004f4ed39413edb9cb0	ENA fastq_ftp	returned	not_checked	2026-07-13	E-P0008-010	保持ENA API返回值；未下载文件正文
