run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
ERR792488	ERX836635	SAMEA3309438	ERS685900	PRJEB4743	ERP004055	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-G1-1FA	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-G1-1FA	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-G1-1FA	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792488/ERR792488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792488/ERR792488_2.fastq.gz	6b5e804b0417a0eb32d064ab3d676e63;ee2998dff969c9640f967b0724559773	3608170637;3621806784	ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792488/CCHiC-HeLaS3CCL2p2-G1-1FA_side1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792488/CCHiC-HeLaS3CCL2p2-G1-1FA_side2.fastq.gz	b6d84b2d204e098b1993af7ed7ca9b25;ddf35855c7aa19591448fc62098939a2	4036585774;4044476750
ERR792490	ERX836636	SAMEA3309439	ERS685901	PRJEB4743	ERP004055	E-MTAB-1948_2:CCHiC-HeLa-M-R1	E-MTAB-1948_2:CCHiC-HeLaS3-M-R1	E-MTAB-1948_2:CCHiC-HeLaS3-M-R1	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792490/ERR792490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792490/ERR792490_2.fastq.gz	dac295fa44623a3d668795b193c935f9;edf35ca2ff8250440edbb9417d683853	3626806396;3689720713	ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792490/CCHiC-HeLa-M-R1_side1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792490/CCHiC-HeLa-M-R1_side2.txt.gz	73a409de40d56323def12b24c888c67d;c0c1856f380ca0547ebfd97591543907	3721994795;3794491349
ERR792492	ERX836639	SAMEA3309442	ERS685904	PRJEB4743	ERP004055	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-G1-0.25FA	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-G1-0.25FA	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-G1-0.25FA	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792492/ERR792492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792492/ERR792492_2.fastq.gz	d558753308226992d3a3cb40aed9433a;8db33d83f5e7e3786df8a0bf7ac87a4e	3618162034;3637676696	ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792492/CCHiC-HeLaS3CCL2p2-G1-0.25FA_side1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792492/CCHiC-HeLaS3CCL2p2-G1-0.25FA_side2.fastq.gz	7cb787b0fe1727b1f295b9e48f416db7;8db104035f19f9cd43e368df1815d725	4046649000;4062023145
ERR792493	ERX836637	SAMEA3309440	ERS685902	PRJEB4743	ERP004055	E-MTAB-1948_2:CCHiC-HeLa-G1mid-R2	E-MTAB-1948_2:CCHiC-HeLaS3-G1mid-R2	E-MTAB-1948_2:CCHiC-HeLaS3-G1mid-R2	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792493/ERR792493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792493/ERR792493_2.fastq.gz	4e80bb2ca6ce2867df6b0df3f5987c96;2808fc7026160610a8053c1394fafa26	1996898441;2002029076	ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792493/CCHiC-HeLa-G1mid-R2_side1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792493/CCHiC-HeLa-G1mid-R2_side2.txt.gz	e8a19f89efbc99526c1fb67a96e4cd5b;3df40b51331bad987d8c89edafa830ca	2050588786;2061132885
ERR792494	ERX836642	SAMEA3309445	ERS685907	PRJEB4743	ERP004055	E-MTAB-1948_2:CCHiC-HeLa-G1mid-R1	E-MTAB-1948_2:CCHiC-HeLaS3-G1mid-R1	E-MTAB-1948_2:CCHiC-HeLaS3-G1mid-R1	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792494/ERR792494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792494/ERR792494_2.fastq.gz	953d1965bc0473013c660ab924968723;3ae9bce951ce20a91581f91644347e62	4239311021;4304809174	ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792494/CCHiC-HeLa-G1mid-R1_side1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792494/CCHiC-HeLa-G1mid-R1_side2.txt.gz	829f300982b150e0d6f8b6470bb63cdc;fe83ca92427b4ef863c98e619dfbc7ba	4344847978;4422900679
ERR792487	ERX836641	SAMEA3309444	ERS685906	PRJEB4743	ERP004055	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-M-0.25FA	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-M-0.25FA	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-M-0.25FA	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792487/ERR792487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792487/ERR792487_2.fastq.gz	7ab73907b9b19da22ed102554ae6d56b;16d6c3f11a67a323a42647567ad08edc	777620619;802714429	ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792487/CCHiC-HeLaS3CCL2p2-M-0.25FA_side1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR792/ERR792487/CCHiC-HeLaS3CCL2p2-M-0.25FA_side2.txt.gz	d6dcb1203dac5046c29f67584c3cc4b4;a633affe6d5e9619cc5d4beed04e837f	794173850;817900559
ERR351511	ERX324294	SAMEA2220308	ERS358581	PRJEB4743	ERP004055	E-MTAB-1948:CCHiC-HFF1-NS-R1-Side	E-MTAB-1948:CCHiC-HFF1-NS-R1-fastq	E-MTAB-1948:CCHiC-HFF1-NS-R1-fastq	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351511/ERR351511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351511/ERR351511_2.fastq.gz	c0e0b689a7d51ee131288493bbdf0802;804ed46aef7289432a7363e774be296e	8916681055;9087948495	ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR351511/CCHiC-HFF1-NS-R1-Side1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR351511/CCHiC-HFF1-NS-R1-Side2.fastq.gz	db886df878aa943b162281c6f85b89f1;8cfe059dd0b2cfca8a9c9b085c0bc0c4	9842373131;10001899525
ERR351512	ERX324295	SAMEA2220309	ERS358582	PRJEB4743	ERP004055	E-MTAB-1948:CCHiC-HFF1-M-R1-Side	E-MTAB-1948:CCHiC-HFF1-M-R1-fastq	E-MTAB-1948:CCHiC-HFF1-M-R1-fastq	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351512/ERR351512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351512/ERR351512_2.fastq.gz	e6eb08474d29e4eaa4a0b7b42e2b16b4;88167ac70c6539ae27ba0a328100c633	6865486712;6985983296	ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR351512/CCHiC-HFF1-M-R1-Side1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR351512/CCHiC-HFF1-M-R1-Side2.fastq.gz	f969a557636b7da6bb6656881110d7c6;2d6db82d7cf76b46be821e142d8c17e8	7615263201;7731700972
ERR351514	ERX324296	SAMEA2220310	ERS358583	PRJEB4743	ERP004055	E-MTAB-1948:CCHiC-K562-M-R1-Side	E-MTAB-1948:CCHiC-K562-M-R1-fastq	E-MTAB-1948:CCHiC-K562-M-R1-fastq	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351514/ERR351514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351514/ERR351514_2.fastq.gz	4d56641a2cf6524a4b941c1b868ff6e0;e97ffc61a9b16ca5ad25e1df96c61359	2040587516;2050486705	ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR351514/CCHiC-K562-M-R1-Side1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR351514/CCHiC-K562-M-R1-Side2.fastq.gz	0f8a74e4928093e2fa13d45f5cbcf525;2991f60207416464a1908e98eae55c98	2096383519;2111628059
ERR351513	ERX324297	SAMEA2220311	ERS358584	PRJEB4743	ERP004055	E-MTAB-1948:CCHiC-K562-M-R2-Side	E-MTAB-1948:CCHiC-K562-M-R2-fastq	E-MTAB-1948:CCHiC-K562-M-R2-fastq	Homo sapiens	OTHER	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351513/ERR351513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351513/ERR351513_2.fastq.gz	641539e94e0a53a8a40ec1c96c445c1f;03abf8c74254a1145817ef178db77387	4088941943;4155338056	ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR351513/CCHiC-K562-M-R2-Side1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR351513/CCHiC-K562-M-R2-Side2.fastq.gz	ce16ec1d4dc321e47fb00e2ca92f87b6;5ca91bc4989bd26b1e39ffb95a0deef0	4191298415;4269503889
