run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR5952287	PRJNA399157	SRP115913	SRX3110752	SAMN07524514	SRS2445837	GSM2747738_r2	GSM2747738	GSM2747738	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952287/SRR5952287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952287/SRR5952287_2.fastq.gz	c5ba88493eb4b0b8d4608fbcff9f3399;efd108a71b843f9e19c2b43faa0bc1bd	8862400467;9129785475			
SRR5952288	PRJNA399157	SRP115913	SRX3110753	SAMN07524543	SRS2445840	GSM2747739_r1	GSM2747739	GSM2747739	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5952288/SRR5952288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5952288/SRR5952288_2.fastq.gz	82f63e003ae03d3dbe046dba31114871;884e859f60adf2b04609ac6f75d4eba0	8099192090;8287500038			
SRR5952290	PRJNA399157	SRP115913	SRX3110754	SAMN07524542	SRS2445838	GSM2747740_r1	GSM2747740	GSM2747740	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5952290/SRR5952290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5952290/SRR5952290_2.fastq.gz	26851caefdf027652bec49d54835f952;ed35950a2e3a88601e05a7b348dd8197	7949241125;8206757682			
SRR5952292	PRJNA399157	SRP115913	SRX3110755	SAMN07524541	SRS2445839	GSM2747741_r1	GSM2747741	GSM2747741	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5952292/SRR5952292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5952292/SRR5952292_2.fastq.gz	6d5d513c4c9784b3d3fffb1a9b8d6d08;ef7778eef2152fc1f9aa0a4efc6183c4	6685032185;7450257399			
SRR5952295	PRJNA399157	SRP115913	SRX3110756	SAMN07524540	SRS2445841	GSM2747742_r2	GSM2747742	GSM2747742	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/005/SRR5952295/SRR5952295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/005/SRR5952295/SRR5952295_2.fastq.gz	1ba380bd947e9c303e16daff2829e85d;8ef1fa3a10496b60ab7f361d8faffc35	8097465004;9329614298			
SRR5952296	PRJNA399157	SRP115913	SRX3110757	SAMN07524539	SRS2445842	GSM2747743_r1	GSM2747743	GSM2747743	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5952296/SRR5952296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5952296/SRR5952296_2.fastq.gz	157ed5bc602a83a3ce25ec2546eb8cc3;f9d58d9cd42e7a1d3aca354821a79179	8078549522;9242481682			
SRR5952298	PRJNA399157	SRP115913	SRX3110758	SAMN07524538	SRS2445843	GSM2747744_r1	GSM2747744	GSM2747744	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5952298/SRR5952298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5952298/SRR5952298_2.fastq.gz	104fd81fc5442fcaf302eaf36717098b;432fa48dda22e3651298f1ea07aa8ef0	7488997821;7674262629			
SRR5952302	PRJNA399157	SRP115913	SRX3110761	SAMN07524535	SRS2445846	GSM2747747_r1	GSM2747747	GSM2747747	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5952302/SRR5952302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5952302/SRR5952302_2.fastq.gz	3fa9533baf932f7850cc216c025a9d53;7346a6b9273ee2a9099b6f989c65a210	5344789995;5435653454			
SRR5952307	PRJNA399157	SRP115913	SRX3110766	SAMN07524530	SRS2445851	GSM2747752_r1	GSM2747752	GSM2747752	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952307/SRR5952307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952307/SRR5952307_2.fastq.gz	0b8b4604d0d317cac17a40bc777969b1;faf4de7e4f5f06a9308f19d8ab164d31	7249086893;7550659011			
SRR5952312	PRJNA399157	SRP115913	SRX3110771	SAMN07524525	SRS2445856	GSM2747757_r1	GSM2747757	GSM2747757	Homo sapiens	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5952312/SRR5952312.fastq.gz	b423b0d13904b66f292f70f07f2a0926	1463306516			
