run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR13848198	SRX10229671	SAMN18128741	SRS8371865	PRJNA706396	SRP309136	GSM5133013_r1	GSM5133013	GSM5133013	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/098/SRR13848198/SRR13848198.fastq.gz	5474dcc597d5f491d6ffbfeeae7fec95	817356028			
SRR13848199	SRX10229672	SAMN18128740	SRS8371864	PRJNA706396	SRP309136	GSM5133014_r1	GSM5133014	GSM5133014	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/099/SRR13848199/SRR13848199.fastq.gz	df19751094b9a802f857d3b096d29e69	841706976			
SRR13848202	SRX10229675	SAMN18128737	SRS8371869	PRJNA706396	SRP309136	GSM5133018_r1	GSM5133018	GSM5133018	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/002/SRR13848202/SRR13848202.fastq.gz	5643ec60564d91f31af007a84d635ccf	727991833			
SRR13848215	SRX10229688	SAMN18128724	SRS8371880	PRJNA706396	SRP309136	GSM5133035_r1	GSM5133035	GSM5133035	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/015/SRR13848215/SRR13848215.fastq.gz	f6e53f7d13b38219be261ec5d62166dd	1623184507			
SRR13848217	SRX10229690	SAMN18128722	SRS8371883	PRJNA706396	SRP309136	GSM5133038_r1	GSM5133038	GSM5133038	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/017/SRR13848217/SRR13848217.fastq.gz	4514c68c26c20bc0466e7363a675b9d8	1524192688			
SRR13858329	SRX10239381	SAMN18140095	SRS8380795	PRJNA706676	SRP309311	GSM5133376_r2	GSM5133376	GSM5133376	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/029/SRR13858329/SRR13858329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/029/SRR13858329/SRR13858329_2.fastq.gz	d9f7e241c48cd98a7a8c5a79631400b6;b3583c3b0cecd6396af662bdb422906c	2402980781;2454885720			
SRR13858337	SRX10239384	SAMN18140092	SRS8380798	PRJNA706676	SRP309311	GSM5133379_r2	GSM5133379	GSM5133379	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/037/SRR13858337/SRR13858337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/037/SRR13858337/SRR13858337_2.fastq.gz	6634c0a54b1e904dfd3050087022640b;2a9d5a4d02bc5391de20dd6af09be38b	2482733525;2556282154			
SRR13858339	SRX10239385	SAMN18140091	SRS8380799	PRJNA706676	SRP309311	GSM5133380_r1	GSM5133380	GSM5133380	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/039/SRR13858339/SRR13858339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/039/SRR13858339/SRR13858339_2.fastq.gz	df5d3c0b74cee9676140392b64da4a90;a5672663bc817fad4b0e55c461353bea	3251117823;3379631560			
SRR13858348	SRX10239388	SAMN18140110	SRS8380802	PRJNA706676	SRP309311	GSM5133383_r1	GSM5133383	GSM5133383	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/048/SRR13858348/SRR13858348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/048/SRR13858348/SRR13858348_2.fastq.gz	1612488759ff0df93df7b458de7c52ea;0971ab02cbe3b7fe480361f3f208d972	2646947830;2786755322			
SRR13858351	SRX10239389	SAMN18140109	SRS8380803	PRJNA706676	SRP309311	GSM5133384_r1	GSM5133384	GSM5133384	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/051/SRR13858351/SRR13858351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/051/SRR13858351/SRR13858351_2.fastq.gz	5d0a2aaff274274d58e24342c02ac1b6;d82ab06743c6ffe9889e821f14358280	2855460824;2932632398			
