run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR10002094	PRJNA533460	SRP192917	SRX6741011	SAMN12601383	SRS5291879	OTHER	GENOMIC	other	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/094/SRR10002094/SRR10002094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/094/SRR10002094/SRR10002094_2.fastq.gz	e4e8b84411e69acd9819ebbbd7748e8f;8624d3a70eef956540809c3559086a41	577722993;584625259			
SRR10002097	PRJNA533460	SRP192917	SRX6741013	SAMN12601380	SRS5291881	OTHER	GENOMIC	other	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/097/SRR10002097/SRR10002097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/097/SRR10002097/SRR10002097_2.fastq.gz	665cabf5ee89672c3b5c4c737d174b6a;c06f35e70e7cba42c35d97460e60e3b5	687330657;697015325			
SRR10002099	PRJNA533460	SRP192917	SRX6741014	SAMN12601379	SRS5291882	OTHER	GENOMIC	other	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/099/SRR10002099/SRR10002099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/099/SRR10002099/SRR10002099_2.fastq.gz	2de4640b1db220538114ab09409eb4fe;917722a3b8d2b940529ccde2a5eee0fa	516323618;524163114			
SRR10002102	PRJNA533460	SRP192917	SRX6741015	SAMN12601378	SRS5291883	OTHER	GENOMIC	other	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/002/SRR10002102/SRR10002102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/002/SRR10002102/SRR10002102_2.fastq.gz	eb0b67da843c009e2e6aba0e8dc4c020;c7b94e85ca296eec649c9fb8aeaf1b5b	1156962952;1157196587			
SRR10002107	PRJNA533460	SRP192917	SRX6741018	SAMN12601375	SRS5291886	OTHER	GENOMIC	other	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/007/SRR10002107/SRR10002107.fastq.gz	b765df1d0ac57d8fd43cee495b1b794f	1005697707			
SRR10002108	PRJNA533460	SRP192917	SRX6741019	SAMN12601374	SRS5291887	OTHER	GENOMIC	other	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/008/SRR10002108/SRR10002108.fastq.gz	75657d476e5b7ef06310afb24ea217bb	887682710			
SRR10002109	PRJNA533460	SRP192917	SRX6741020	SAMN12601373	SRS5291888	OTHER	GENOMIC	other	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/009/SRR10002109/SRR10002109.fastq.gz	0830bb717ab45eb5f5cd6c546cea6d97	1052400265			
SRR10002110	PRJNA533460	SRP192917	SRX6741021	SAMN12601372	SRS5291889	OTHER	GENOMIC	other	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/010/SRR10002110/SRR10002110.fastq.gz	36ffd3784c317377972b3ec08b53c300	1019340687			
SRR10002114	PRJNA533460	SRP192917	SRX6741025	SAMN12601392	SRS5291893	OTHER	GENOMIC	other	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/014/SRR10002114/SRR10002114.fastq.gz	bb0ae6890a653cb1a51354eb3d9a9ec6	897427439			
SRR10002117	PRJNA533460	SRP192917	SRX6741028	SAMN12601389	SRS5291896	OTHER	GENOMIC	other	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/017/SRR10002117/SRR10002117.fastq.gz	1c308c729e45c967eba6fd42a9bb2d6c	852491939			
SRR10002119	PRJNA533460	SRP192917	SRX6741030	SAMN12601387	SRS5291898	OTHER	GENOMIC	other	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/019/SRR10002119/SRR10002119.fastq.gz	1d9fc1c9779e48935c962d247ed943c3	949552452			
SRR8925334	PRJNA533460	SRP192917	SRX5706476	SAMN11457819	SRS4645876	OTHER	GENOMIC	other	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/004/SRR8925334/SRR8925334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/004/SRR8925334/SRR8925334_2.fastq.gz	25f6f6c68f95964ebe8c91e532354d39;46b6df5e968f931e4df8880792a6250c	1875411386;1904804609			
SRR8925337	PRJNA533460	SRP192917	SRX5706503	SAMN11457818	SRS4645902	OTHER	GENOMIC	other	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/007/SRR8925337/SRR8925337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/007/SRR8925337/SRR8925337_2.fastq.gz	f8af073e8eddbeb747c0f869731e74af;184c9c9f6b4f718e07b9948fd4574461	674601282;693640142			
