query_id	database	endpoint	query_parameters	queried_at	http_status	response_sha256	response_bytes	returned_rows	snapshot_path	pagination_complete	retry_count	error_summary	query_outcome	legacy_record_id
Q0001	NCBI_GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102740/miniml/GSE102740_family.xml.tgz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102740/miniml/GSE102740_family.xml.tgz	2026-07-13T15:08:03+00:00	200	500bdc596df52cc29ca92f0c8e746b4c4892401dd2f9a4846be8553d51045775	7753	60	data/interim/pilot/source_metadata/GSE102740_family.xml.tgz	yes	0	NA	success	NA
Q0002	NCBI_SRA	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi	"{""db"": ""sra"", ""retmax"": ""100000"", ""term"": ""SRP115572""}"	2026-07-13T15:08:03+00:00	200	a602d809c9de8df5e5ee2712f060ac01b4202fb2ab1c9f0be669db8dbbb873ac	1634	60	data/interim/pilot/source_metadata/SRP115572_esearch.xml	yes	0	NA	success	NA
Q0003	NCBI_SRA	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	"{""db"": ""sra"", ""id"": ""60 Entrez UIDs from Q0002"", ""retmode"": ""xml""}"	2026-07-13T15:08:03+00:00	200	c613b80722d5b9f313e589caa3b9f571f9e5dfae973b01d29298474c86fd98a8	4934774	60	data/interim/pilot/source_metadata/SRP115572_efetch.xml	yes	0	NA	success	NA
Q0004	ENA	https://www.ebi.ac.uk/ena/portal/api/filereport	"{""accession"": ""SRP115572"", ""download"": ""false"", ""fields"": ""study_accession,sample_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,sample_alias,experiment_alias,run_alias,library_name,library_strategy,library_source,library_selection,library_layout,instrument_platform,instrument_model,fastq_ftp,fastq_bytes,fastq_md5"", ""format"": ""tsv"", ""result"": ""read_run""}"	2026-07-13T15:08:03+00:00	200	d9cbae729b7ae95a53418de8d1dd0ba2551faac1e6f6239f3168316adc05a007	518565	1290	data/interim/pilot/source_metadata/SRP115572_ena_read_run.tsv	yes	0	NA	success	NA
Q0005	NCBI_PMC	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi	"{""db"": ""pmc"", ""id"": ""PMC5924687"", ""retmode"": ""xml""}"	2026-07-13T15:31:55+00:00	200	968fa4fbb8c4d0d47de4fa883a97c3ceda7eeab4a4bfbe257b046daf50f56713	157757	6	data/interim/pilot/source_metadata/PMC5924687_efetch.xml	yes	0	NA	success	NA
Q0006	Science	https://www.science.org/doi/suppl/10.1126/science.aao6135/suppl_file/aao6135_gibcus_sm.pdf	"{""method"": ""HEAD""}"	2026-07-13T15:31:55+00:00	403	NA	NR	NR	NA	yes	2	HTTPError: 403 Forbidden	query_failed	NA
Q0007	NCBI_PMC	PMC supplementary material listing	"{""download_limit_bytes"": 20971520, ""main_pdf_reported_size"": ""107.5 MB"", ""pmc_id"": ""PMC5924687""}"	2026-07-13T15:31:55+00:00	NA	NA	NR	6	data/interim/pilot/source_metadata/PMC5924687_efetch.xml	yes	0	主补充PDF超过20 MB阈值；附件入口需要官方浏览器验证，未绕过、未下载	size_limit_not_downloaded	NA
Q0008	EMBL-EBI historical lookup	legacy_record	historical placeholder preserved from schema v1	2026-07-12T00:00:00+08:00	NR	NA	0	0	NA	NA	NR	Legacy failed-query placeholder; not an accession entity.	historical_migrated	AC-P0008-004
Q0009	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi	acc=GSE129997;targ=self;form=xml;view=quick	2026-07-14T00:00:00+08:00	200	7714f0a77afc5830c20ae1f62515104052648c17000ed165abdfcc1c4b1ae470	28844	75	data/interim/pilot/source_metadata/GSE129997_quick.xml	yes	0	NA	success	NA
Q0010	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi	acc=GSE168251;targ=self;form=xml;view=quick	2026-07-14T00:00:00+08:00	200	afd9a51dfaddd926aaba1c80edb9917e185485467312d498b622e0a9b213bf7f	7741	44	data/interim/pilot/source_metadata/GSE168251_quick.xml	yes	0	NA	success	NA
