Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13848196,2021-06-18 17:32:38,2021-03-03 17:04:28,26730558,1336527900,0,50,492,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848196/SRR13848196.lite.1,SRX10229669,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371863,SAMN18128743,simple,10090,Mus musculus,GSM5133011,,,,,,,no,,,,,GEO,SRA1202545,,public,4418B216EA63CD2F1F34AC533F313489,15FF1B8031E6F4671707A80C24786902
SRR13848197,2021-06-18 17:32:38,2021-03-03 17:07:43,31949509,1597475450,0,50,576,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848197/SRR13848197.lite.1,SRX10229670,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371862,SAMN18128742,simple,10090,Mus musculus,GSM5133012,,,,,,,no,,,,,GEO,SRA1202545,,public,03B20987F5E7F38D6649FEC30DEC3C3F,CFE5BA4017D76F247B0A43FF7E5B7F2C
SRR13848198,2021-06-18 17:32:38,2021-03-03 17:05:17,26752788,1337639400,0,50,487,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848198/SRR13848198.lite.1,SRX10229671,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371865,SAMN18128741,simple,10090,Mus musculus,GSM5133013,,,,,,,no,,,,,GEO,SRA1202545,,public,210447FA79BF76E32BD8B37951F4B8D2,1CE498C47C8BC279AB482BD1A78764FA
SRR13848199,2021-06-18 17:32:38,2021-03-03 17:03:53,27776259,1388812950,0,50,501,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848199/SRR13848199.lite.1,SRX10229672,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371864,SAMN18128740,simple,10090,Mus musculus,GSM5133014,,,,,,,no,,,,,GEO,SRA1202545,,public,DE9F7C3CA22F56CC0F6BC71C9EEE918F,E31A08D6CCD758956F0FB59279338DDF
SRR13848200,2021-06-18 17:32:38,2021-03-03 17:04:48,27327682,1366384100,0,50,501,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848200/SRR13848200.lite.1,SRX10229673,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371866,SAMN18128739,simple,10090,Mus musculus,GSM5133016,,,,,,,no,,,,,GEO,SRA1202545,,public,B44697ACF3D2FAB4520210CFE3E1AD68,68F1EC879012770A78A4494A8B35DA4A
SRR13848201,2021-06-18 17:32:38,2021-03-03 17:12:44,35424605,1771230250,0,50,638,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13848/SRR13848201/SRR13848201.lite.1,SRX10229674,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371867,SAMN18128738,simple,10090,Mus musculus,GSM5133017,,,,,,,no,,,,,GEO,SRA1202545,,public,33A03D6B2EAC73C20CBFEC41E4DA688A,50E4C8C65D0B9C749EB0A1BD1863DA06
SRR13848202,2021-06-18 17:32:38,2021-03-03 17:09:01,23453572,1172678600,0,50,433,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848202/SRR13848202.lite.1,SRX10229675,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371869,SAMN18128737,simple,10090,Mus musculus,GSM5133018,,,,,,,no,,,,,GEO,SRA1202545,,public,BB524AA7A66E60E3FC3B190CA2C328ED,A5F482753C2A9D2FF2950124FD67139D
SRR13848203,2021-06-18 17:32:38,2021-03-03 17:09:34,31092227,1554611350,0,50,566,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848203/SRR13848203.lite.1,SRX10229676,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371868,SAMN18128736,simple,10090,Mus musculus,GSM5133019,,,,,,,no,,,,,GEO,SRA1202545,,public,0CC39DE99D02DA6EB5E63721D2B49C25,7F5C790C53411ADFB35C70F3B06DC077
SRR13848204,2021-06-18 17:32:38,2021-03-03 17:06:27,20404953,1020247650,0,50,382,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848204/SRR13848204.lite.1,SRX10229677,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371870,SAMN18128735,simple,10090,Mus musculus,GSM5133020,,,,,,,no,,,,,GEO,SRA1202545,,public,F73580D5D12300B5C2A41D2961C26802,2664E2F7F71A3D235E5D85FFD6EDE9A7
SRR13848205,2021-06-18 17:32:38,2021-03-03 17:11:53,31897226,1594861300,0,50,584,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13848/SRR13848205/SRR13848205.lite.1,SRX10229678,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP309136,PRJNA706396,3,706396,SRS8371871,SAMN18128734,simple,10090,Mus musculus,GSM5133022,,,,,,,no,,,,,GEO,SRA1202545,,public,7E4FAB4AA1C102571680FBF351AE7EAE,6705BE5161477719C6D3586FF7B5ABFD
